epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,2879.55,0.20886,0.17473,0.81072,0.99843,0.99754,0.995,0.99086,0.08396,0.08532,0.67462,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2919.16,0.20833,0.17481,0.81031,0.9986,0.99815,0.99498,0.99147,0.07882,0.08624,0.67375,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2958.98,0.20775,0.17493,0.81085,0.9984,0.99791,0.995,0.99169,0.07955,0.09601,0.67352,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2998.39,0.20463,0.17426,0.81102,0.99791,0.998,0.995,0.99044,0.08063,0.08009,0.67419,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3037.86,0.20725,0.17425,0.8119,0.99885,0.99822,0.99499,0.99108,0.07691,0.08044,0.67316,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3077.38,0.20123,0.17021,0.80974,0.99899,0.99689,0.99499,0.99186,0.08087,0.08584,0.67405,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3117.21,0.20151,0.17015,0.80903,0.99818,0.99795,0.99496,0.99183,0.07618,0.08914,0.6736,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3155.95,0.20039,0.17068,0.80986,0.99882,0.99759,0.995,0.99211,0.07391,0.07562,0.6736,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,3194.79,0.2,0.16826,0.81035,0.99873,0.99814,0.99499,0.99248,0.07494,0.0755,0.67289,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3233.6,0.19921,0.16974,0.8102,0.99909,0.99832,0.99499,0.99212,0.07462,0.07508,0.67289,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3272.69,0.19786,0.16735,0.80939,0.99799,0.99767,0.99499,0.99248,0.07458,0.0755,0.6734,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3312.49,0.19838,0.16956,0.80965,0.99878,0.99778,0.995,0.99214,0.07597,0.07495,0.67357,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3352.01,0.19516,0.16527,0.80861,0.99909,0.9976,0.99499,0.99247,0.07441,0.07727,0.67192,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3391.32,0.19446,0.16572,0.80857,0.99914,0.99804,0.99497,0.99282,0.07304,0.07371,0.67233,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3430.84,0.1969,0.16793,0.80888,0.99853,0.99737,0.99499,0.99254,0.07538,0.07761,0.67384,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3470.49,0.19477,0.16629,0.80989,0.99807,0.99806,0.99498,0.99219,0.07419,0.07501,0.67271,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,3509.86,0.19186,0.16323,0.8071,0.99772,0.99787,0.99499,0.99216,0.07467,0.07236,0.67274,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,3549.39,0.1921,0.16321,0.80853,0.9983,0.99779,0.995,0.99245,0.07202,0.07218,0.67234,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,3588.94,0.19083,0.16322,0.80731,0.99886,0.99798,0.995,0.99246,0.07122,0.07198,0.67189,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,3627.68,0.19038,0.16106,0.80856,0.99974,0.99731,0.995,0.99283,0.07092,0.07016,0.67163,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,3666.22,0.1895,0.16114,0.80767,0.99941,0.99696,0.995,0.99283,0.07023,0.07125,0.67163,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,3705.41,0.18865,0.16095,0.80751,0.99834,0.99849,0.995,0.99324,0.06836,0.06825,0.67134,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,3743.93,0.1877,0.16069,0.80982,0.99947,0.99738,0.995,0.99248,0.06699,0.06951,0.6708,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,3782.33,0.18616,0.16089,0.80527,0.99846,0.99845,0.995,0.99271,0.06743,0.06693,0.67057,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,3821.41,0.18251,0.15909,0.80668,0.99927,0.99805,0.995,0.99314,0.06684,0.06759,0.67085,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,3862.39,0.18398,0.15866,0.80688,0.99954,0.99791,0.995,0.99324,0.06616,0.06701,0.67081,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,3903,0.18192,0.15805,0.80591,0.99975,0.99761,0.995,0.99326,0.06511,0.06807,0.67056,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,3942.42,0.18179,0.15686,0.80711,0.99956,0.99824,0.995,0.99392,0.06484,0.06567,0.67053,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,3983.1,0.18338,0.15732,0.80684,0.99962,0.99786,0.995,0.99324,0.0653,0.06692,0.67061,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,4023.86,0.18173,0.15654,0.80483,0.99977,0.99752,0.995,0.99257,0.0665,0.06709,0.67047,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,4064.46,0.18017,0.15674,0.80697,0.99941,0.99812,0.995,0.99326,0.06468,0.06776,0.67064,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,4103.69,0.18037,0.15657,0.80464,0.99967,0.99819,0.995,0.99321,0.0649,0.06812,0.67161,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,4143.16,0.18085,0.15447,0.80408,0.99977,0.99794,0.995,0.99322,0.06335,0.06873,0.6709,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,4182.39,0.17721,0.1533,0.80537,0.99948,0.99784,0.995,0.99325,0.0629,0.06745,0.67057,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,4222.11,0.17864,0.15441,0.80539,0.99923,0.99804,0.995,0.99327,0.06397,0.06572,0.67068,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,4261.42,0.17705,0.15288,0.80614,0.9995,0.99769,0.995,0.99325,0.06408,0.06595,0.67096,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,4301.37,0.17479,0.1529,0.804,0.99878,0.99809,0.995,0.99389,0.06236,0.06578,0.67049,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,4340.66,0.17434,0.15117,0.80343,0.99949,0.99763,0.995,0.99354,0.06192,0.06832,0.67024,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,4379.75,0.17235,0.151,0.8049,0.9997,0.99777,0.995,0.99389,0.06269,0.06926,0.67032,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,4418.81,0.16952,0.14989,0.80242,0.99932,0.99809,0.995,0.99391,0.06176,0.06457,0.6704,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,4457.84,0.17128,0.14785,0.80467,0.99986,0.99766,0.995,0.99359,0.06054,0.06214,0.66998,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,4497.31,0.17119,0.15023,0.80446,0.9993,0.99826,0.995,0.99393,0.06007,0.06179,0.66982,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,4536.79,0.16985,0.1476,0.80232,0.99911,0.99831,0.995,0.9936,0.05889,0.06138,0.66967,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,4576.33,0.17008,0.14914,0.80307,0.99942,0.99784,0.995,0.99395,0.05946,0.06183,0.66961,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,4615.86,0.16715,0.1467,0.80263,0.99897,0.9978,0.99499,0.99392,0.05846,0.06127,0.66923,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,4655.2,0.16736,0.14602,0.80246,0.99938,0.9976,0.995,0.99358,0.05831,0.06135,0.66928,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,4694.64,0.16527,0.14548,0.79923,0.99911,0.99779,0.995,0.99392,0.05764,0.06035,0.66912,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,4734.28,0.16486,0.14476,0.80204,0.99846,0.9982,0.995,0.99392,0.05795,0.06091,0.66902,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,4774.12,0.16593,0.14456,0.8043,0.99915,0.99735,0.995,0.99395,0.05792,0.06061,0.66903,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,4812.91,0.16461,0.14482,0.80289,0.99885,0.99773,0.995,0.99425,0.05722,0.06075,0.66888,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,4851.7,0.1652,0.14519,0.80378,0.9992,0.9972,0.995,0.99426,0.05733,0.06115,0.66911,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,4890.8,0.16213,0.14264,0.80198,0.99918,0.99762,0.995,0.99428,0.05668,0.05994,0.66883,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,4929.25,0.16204,0.14325,0.80278,0.9992,0.99782,0.995,0.9943,0.05628,0.05983,0.66884,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,4968.81,0.16141,0.14274,0.80245,0.99905,0.99776,0.995,0.9943,0.05651,0.05958,0.6688,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,5008.17,0.15981,0.14135,0.80013,0.99897,0.99813,0.995,0.9943,0.05636,0.05849,0.66868,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,5047.72,0.15901,0.14241,0.80098,0.99871,0.99833,0.995,0.9943,0.05617,0.05994,0.66861,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,5087.17,0.15591,0.13892,0.7993,0.99875,0.99836,0.995,0.99463,0.05575,0.06072,0.6683,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,5126.73,0.16003,0.14101,0.80301,0.99875,0.99842,0.995,0.99463,0.0553,0.05876,0.66831,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,5166.21,0.15654,0.13844,0.79935,0.99873,0.99845,0.995,0.99464,0.05509,0.05942,0.66836,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,5205.63,0.15616,0.13952,0.7999,0.99939,0.99746,0.995,0.99463,0.05485,0.05937,0.66834,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
